
Dataset,# Training,TrainingSet Size,TestSet Size,% Training,% Defect Training,%Defect Testing,Classifier,Balancing,FeatureSelection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa,Accuracy
storm,2,5118,2559,0.6666666666666666,1.9538882375928098E-4,0.016803438843298164,RF,Smote,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN
storm,2,5118,2559,0.6666666666666666,1.9538882375928098E-4,0.016803438843298164,IBk,Smote,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN
storm,2,5118,2559,0.6666666666666666,1.9538882375928098E-4,0.016803438843298164,NB,Smote,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN
storm,2,5118,2559,0.6666666666666666,1.9538882375928098E-4,0.016803438843298164,Cost Sensitive,Smote,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN
storm,3,7677,2559,0.75,0.005731405496938909,0.11957796014067995,RF,No sampling,False,0.954248366013072,0.0,1.0,0.0457516339869281,1.0,0.954248366013072,1.0,0.9734932057195366,0.9945291129347401
storm,3,7677,2559,0.75,0.005731405496938909,0.11957796014067995,IBk,No sampling,False,0.7777777777777778,0.0,1.0,0.2222222222222222,1.0,0.7777777777777778,0.9183006535947712,0.8603927986906709,0.9734271199687378
storm,3,7677,2559,0.75,0.005731405496938909,0.11957796014067995,NB,No sampling,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
storm,3,7677,2559,0.75,0.005731405496938909,0.11957796014067995,Cost Sensitive,No sampling,False,0.9738562091503268,0.0,1.0,0.026143790849673203,1.0,0.9738562091503268,0.9901960784313726,0.9849830553232692,0.9968737788198515
storm,3,7677,2559,0.75,0.005731405496938909,0.11957796014067995,RF,Under sampling,False,0.9934640522875817,0.0,1.0,0.006535947712418301,1.0,0.9934640522875817,1.0,0.9962776611667984,0.9992184447049629
storm,3,7677,2559,0.75,0.005731405496938909,0.11957796014067995,IBk,Under sampling,False,0.8366013071895425,0.0,1.0,0.16339869281045752,1.0,0.8366013071895425,0.9183006535947712,0.9001549763321647,0.980461117624072
storm,3,7677,2559,0.75,0.005731405496938909,0.11957796014067995,NB,Under sampling,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
storm,3,7677,2559,0.75,0.005731405496938909,0.11957796014067995,Cost Sensitive,Under sampling,False,0.7941176470588235,0.0,1.0,0.20588235294117646,1.0,0.7941176470588235,0.8970588235294118,0.8716603976356796,0.9753810082063306
storm,3,7677,2559,0.75,0.005731405496938909,0.11957796014067995,RF,Over sampling,False,0.9477124183006536,0.0,1.0,0.05228758169934641,1.0,0.9477124183006536,1.0,0.9696189908019981,0.993747557639703
storm,3,7677,2559,0.75,0.005731405496938909,0.11957796014067995,IBk,Over sampling,False,0.7973856209150327,0.0,1.0,0.20261437908496732,1.0,0.7973856209150327,0.9183006535947712,0.8738929928894018,0.9757717858538492
storm,3,7677,2559,0.75,0.005731405496938909,0.11957796014067995,NB,Over sampling,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
storm,3,7677,2559,0.75,0.005731405496938909,0.11957796014067995,Cost Sensitive,Over sampling,False,0.954248366013072,0.0,1.0,0.0457516339869281,1.0,0.954248366013072,0.9771241830065359,0.9734932057195366,0.9945291129347401
storm,3,7677,2559,0.75,0.005731405496938909,0.11957796014067995,RF,Smote,False,0.9575163398692811,0.0,1.0,0.042483660130718956,1.0,0.9575163398692811,1.0,0.9754219537873332,0.9949198905822587
storm,3,7677,2559,0.75,0.005731405496938909,0.11957796014067995,IBk,Smote,False,0.8169934640522876,0.0,1.0,0.1830065359477124,1.0,0.8169934640522876,0.9183006535947712,0.8871447876995191,0.9781164517389606
storm,3,7677,2559,0.75,0.005731405496938909,0.11957796014067995,NB,Smote,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
storm,3,7677,2559,0.75,0.005731405496938909,0.11957796014067995,Cost Sensitive,Smote,False,0.9477124183006536,0.0,1.0,0.05228758169934641,1.0,0.9477124183006536,0.9771241830065359,0.9696189908019981,0.993747557639703
storm,4,10236,2559,0.8,0.03419304415787417,0.06799531066822978,RF,No sampling,False,0.9597701149425287,0.0,1.0,0.040229885057471264,1.0,0.9597701149425287,1.0,0.9780074474863816,0.9972645564673701
storm,4,10236,2559,0.8,0.03419304415787417,0.06799531066822978,IBk,No sampling,False,0.9597701149425287,0.0,1.0,0.040229885057471264,1.0,0.9597701149425287,0.9942528735632183,0.9780074474863816,0.9972645564673701
storm,4,10236,2559,0.8,0.03419304415787417,0.06799531066822978,NB,No sampling,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
storm,4,10236,2559,0.8,0.03419304415787417,0.06799531066822978,Cost Sensitive,No sampling,False,0.9655172413793104,0.0,1.0,0.034482758620689655,1.0,0.9655172413793104,0.9827586206896551,0.9812002732902826,0.9976553341148886
storm,4,10236,2559,0.8,0.03419304415787417,0.06799531066822978,RF,Under sampling,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
storm,4,10236,2559,0.8,0.03419304415787417,0.06799531066822978,IBk,Under sampling,False,0.9885057471264368,0.0,1.0,0.011494252873563218,1.0,0.9885057471264368,0.9942528735632183,0.993800556714368,0.9992184447049629
storm,4,10236,2559,0.8,0.03419304415787417,0.06799531066822978,NB,Under sampling,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
storm,4,10236,2559,0.8,0.03419304415787417,0.06799531066822978,Cost Sensitive,Under sampling,False,0.9885057471264368,0.0,1.0,0.011494252873563218,1.0,0.9885057471264368,0.9942528735632183,0.993800556714368,0.9992184447049629
storm,4,10236,2559,0.8,0.03419304415787417,0.06799531066822978,RF,Over sampling,False,0.9770114942528736,0.0,1.0,0.022988505747126436,1.0,0.9770114942528736,1.0,0.9875343426667442,0.9984368894099257
storm,4,10236,2559,0.8,0.03419304415787417,0.06799531066822978,IBk,Over sampling,False,0.9655172413793104,0.0,1.0,0.034482758620689655,1.0,0.9655172413793104,0.9942528735632183,0.9812002732902826,0.9976553341148886
storm,4,10236,2559,0.8,0.03419304415787417,0.06799531066822978,NB,Over sampling,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
storm,4,10236,2559,0.8,0.03419304415787417,0.06799531066822978,Cost Sensitive,Over sampling,False,0.9655172413793104,0.0,1.0,0.034482758620689655,1.0,0.9655172413793104,0.9827586206896551,0.9812002732902826,0.9976553341148886
storm,4,10236,2559,0.8,0.03419304415787417,0.06799531066822978,RF,Smote,False,0.9655172413793104,0.0,1.0,0.034482758620689655,1.0,0.9655172413793104,1.0,0.9812002732902826,0.9976553341148886
storm,4,10236,2559,0.8,0.03419304415787417,0.06799531066822978,IBk,Smote,False,0.9655172413793104,0.0,1.0,0.034482758620689655,1.0,0.9655172413793104,0.9942528735632183,0.9812002732902826,0.9976553341148886
storm,4,10236,2559,0.8,0.03419304415787417,0.06799531066822978,NB,Smote,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
storm,4,10236,2559,0.8,0.03419304415787417,0.06799531066822978,Cost Sensitive,Smote,False,0.9655172413793104,0.0,1.0,0.034482758620689655,1.0,0.9655172413793104,0.9827586206896551,0.9812002732902826,0.9976553341148886
storm,5,12795,2559,0.8333333333333334,0.04095349745994529,0.11645173896053146,RF,No sampling,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
storm,5,12795,2559,0.8333333333333334,0.04095349745994529,0.11645173896053146,IBk,No sampling,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
storm,5,12795,2559,0.8333333333333334,0.04095349745994529,0.11645173896053146,NB,No sampling,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
storm,5,12795,2559,0.8333333333333334,0.04095349745994529,0.11645173896053146,Cost Sensitive,No sampling,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
storm,5,12795,2559,0.8333333333333334,0.04095349745994529,0.11645173896053146,RF,Under sampling,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
storm,5,12795,2559,0.8333333333333334,0.04095349745994529,0.11645173896053146,IBk,Under sampling,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
storm,5,12795,2559,0.8333333333333334,0.04095349745994529,0.11645173896053146,NB,Under sampling,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
