Dataset,# Training,% Training,% Defect Training,%Defect Testing,Classifier,Balancing,FeatureSelection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,RF,No sampling,True,7176.0,35.0,3.0,118.0,0.9951463042573846,0.9838223197148341,0.7218730607709293,0.030084939200684536
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,IBk,No sampling,True,14352.0,70.0,6.0,236.0,0.9951463042573846,0.9838223197148341,0.7017447649834759,0.030084939200684536
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,NB,No sampling,True,21458.0,105.0,9.0,424.0,0.9951305476974447,0.980623343387259,0.6183937931841761,0.02490587515988974
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,RF,Under sampling,True,5353.0,8.0,30.0,1941.0,0.9985077410930796,0.7338908692075679,0.7903954944943934,0.019898503394193832
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,IBk,Under sampling,True,10626.0,16.0,60.0,3962.0,0.998496523209923,0.7284069097888676,0.7927496283895921,0.019305693338296834
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,NB,Under sampling,True,16945.0,48.0,66.0,4937.0,0.9971753074795504,0.7743807695823051,0.676836845793306,0.015822124931228625
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,RF,Over sampling,True,6306.0,34.0,4.0,988.0,0.9946372239747634,0.8645462023581025,0.681565959043482,-0.002238460213295653
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,IBk,Over sampling,True,12612.0,68.0,8.0,1976.0,0.9946372239747634,0.8645462023581025,0.6816408223052833,-0.002238460213295653
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,NB,Over sampling,True,18931.0,100.0,14.0,2951.0,0.9947454153749146,0.865140297961795,0.6089620243827739,-8.968277603900281E-4
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,RF,Smote,True,0.0,0.0,0.0,0.0,NaN,NaN,NaN,1.0
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,IBk,Smote,True,0.0,0.0,0.0,0.0,NaN,NaN,NaN,1.0
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,NB,Smote,True,0.0,0.0,0.0,0.0,NaN,NaN,NaN,1.0
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,RF,No sampling,False,10715.0,87.0,44.0,11.0,0.9919459359377893,0.9989744545963081,0.8273269062974609,0.46933154845505415
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,IBk,No sampling,False,18945.0,117.0,145.0,2507.0,0.993862134088763,0.883134439679284,0.792479713274301,0.07929895974058222
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,NB,No sampling,False,26953.0,143.0,250.0,5225.0,0.994722468260998,0.8376219777487725,0.7972241161085989,0.06413627963427525
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,RF,Under sampling,False,10707.0,87.0,44.0,19.0,0.9919399666481379,0.998228603393623,0.644736767190518,0.4492925476324478
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,IBk,Under sampling,False,18858.0,117.0,145.0,2594.0,0.9938339920948617,0.879078873764684,0.7014317781007269,0.0762896612719982
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,NB,Under sampling,False,26835.0,141.0,252.0,5343.0,0.9947731316725978,0.8339548760022375,0.7583868326580976,0.06304171732695733
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,RF,Over sampling,False,10714.0,87.0,44.0,12.0,0.9919451902601611,0.9988812231959724,0.8243911847220068,0.46673450463809957
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,IBk,Over sampling,False,18942.0,117.0,145.0,2510.0,0.9938611679521486,0.8829945925787805,0.792326610946078,0.07919220924703974
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,NB,Over sampling,False,26918.0,141.0,252.0,5260.0,0.994789164418493,0.83653427807819,0.795371230988188,0.06427338038871579
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,RF,Smote,False,0.0,0.0,0.0,0.0,NaN,NaN,NaN,1.0
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,IBk,Smote,False,0.0,0.0,0.0,0.0,NaN,NaN,NaN,1.0
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,NB,Smote,False,0.0,0.0,0.0,0.0,NaN,NaN,NaN,1.0
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,RF,No sampling,True,10726.0,87.0,44.0,0.0,0.991954129288819,1.0,0.6679389312977099,0.4998223407911379
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,IBk,No sampling,True,21452.0,174.0,88.0,0.0,0.991954129288819,1.0,0.6679389312977099,0.4998223407911379
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,NB,No sampling,True,32178.0,261.0,132.0,0.0,0.991954129288819,1.0,0.6679389312977099,0.4998223407911379
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,RF,Under sampling,True,10726.0,87.0,44.0,0.0,0.991954129288819,1.0,0.6679389312977099,0.4998223407911379
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,IBk,Under sampling,True,21452.0,174.0,88.0,0.0,0.991954129288819,1.0,0.6679389312977099,0.4998223407911379
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,NB,Under sampling,True,32178.0,261.0,132.0,0.0,0.991954129288819,1.0,0.6679389312977099,0.4998223407911379
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,RF,Over sampling,True,10726.0,87.0,44.0,0.0,0.991954129288819,1.0,0.6679389312977099,0.4998223407911379
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,IBk,Over sampling,True,21452.0,174.0,88.0,0.0,0.991954129288819,1.0,0.6679389312977099,0.4998223407911379
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,NB,Over sampling,True,32178.0,261.0,132.0,0.0,0.991954129288819,1.0,0.6679389312977099,0.4998223407911379
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,RF,Smote,True,10726.0,87.0,44.0,0.0,0.991954129288819,1.0,0.6679389312977099,0.4998223407911379
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,IBk,Smote,True,21452.0,174.0,88.0,0.0,0.991954129288819,1.0,0.6679389312977099,0.4998223407911379
storm,3,0.7706011782241465,0.012065948236161002,0.11169554455445545,NB,Smote,True,32178.0,261.0,132.0,0.0,0.991954129288819,1.0,0.6679389312977099,0.4998223407911379
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,RF,No sampling,False,13467.0,122.0,370.0,130.0,0.9910221502685996,0.9904390674413474,0.8911860937760661,0.7366988898486895
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,IBk,No sampling,False,26458.0,301.0,683.0,736.0,0.988751448110916,0.9729352062955063,0.8071340461878547,0.5498926033249177
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,NB,No sampling,False,38244.0,516.0,960.0,2547.0,0.986687306501548,0.9375597558284916,0.8022608589266497,0.35353357451821427
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,RF,Under sampling,False,11873.0,93.0,399.0,1724.0,0.9922279792746114,0.8732073251452527,0.8768684627347855,0.26339610486974585
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,IBk,Under sampling,False,23687.0,220.0,764.0,3507.0,0.9907976743213285,0.8710377289107891,0.8221250233940892,0.24808935790405828
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,NB,Under sampling,False,35760.0,411.0,1065.0,5031.0,0.9886373061292195,0.8766639699933809,0.8091166225824696,0.23848117472024494
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,RF,Over sampling,False,13341.0,124.0,368.0,256.0,0.990790939472707,0.981172317422961,0.8914121120691975,0.6456608072322038
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,IBk,Over sampling,False,26286.0,303.0,681.0,908.0,0.9886043100530294,0.9666102816797824,0.8071060181257104,0.5081277734657759
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,NB,Over sampling,False,37992.0,481.0,995.0,2799.0,0.9874977256777481,0.9313819224829006,0.7982081506235866,0.3446580305042272
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,RF,Smote,False,13479.0,127.0,365.0,118.0,0.9906658826988094,0.9913216150621461,0.8914792299353456,0.7397123840336958
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,IBk,Smote,False,26422.0,248.0,736.0,772.0,0.9907011623547056,0.9716113848643083,0.8602854915987566,0.5726278504948382
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,NB,Smote,False,38222.0,342.0,1134.0,2569.0,0.9911316253500674,0.9370204211713368,0.8618886552303536,0.40837855978878324
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,RF,No sampling,True,13320.0,132.0,360.0,277.0,0.9901873327386262,0.9796278590865632,0.859902067708623,0.6228714449582794
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,IBk,No sampling,True,26638.0,264.0,720.0,556.0,0.990186603226526,0.9795543134514967,0.8497159038250307,0.6222733371268445
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,NB,No sampling,True,40235.0,408.0,1068.0,556.0,0.9899613709617893,0.9863695423009977,0.86435050733533,0.6772224572889641
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,RF,Under sampling,True,12673.0,122.0,370.0,924.0,0.990465025400547,0.9320438331984997,0.8620052187504298,0.38311825142076117
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,IBk,Under sampling,True,25323.0,240.0,744.0,1871.0,0.9906114305832648,0.9311980583952343,0.8498998426541962,0.3820915859009522
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,NB,Under sampling,True,38920.0,384.0,1092.0,1871.0,0.9902300020354162,0.9541320389301562,0.8641209844963542,0.46716243570974053
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,RF,Over sampling,True,13234.0,128.0,364.0,363.0,0.9904205957192037,0.9733029344708392,0.8390970240326806,0.5797042770747872
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,IBk,Over sampling,True,26466.0,255.0,729.0,728.0,0.9904569439766476,0.9732293888357726,0.8394294555350863,0.5797781577344266
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,NB,Over sampling,True,40063.0,399.0,1077.0,728.0,0.9901388957540408,0.9821529258905151,0.8567884780365296,0.6427819426050762
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,RF,Smote,True,13279.0,132.0,360.0,318.0,0.990157333532175,0.9766124880488343,0.8613311999119844,0.599161736205234
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,IBk,Smote,True,26556.0,264.0,720.0,638.0,0.9901565995525727,0.9765389424137677,0.8507266891728269,0.5986035575429387
storm,4,0.8240145046204235,0.03492086024558166,0.06812894649385177,NB,Smote,True,40153.0,408.0,1068.0,638.0,0.9899410764034418,0.9843592949425118,0.8571883284472324,0.6584880123035295
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,RF,No sampling,False,14181.0,103.0,594.0,2220.0,0.9927891346961636,0.8646423998536674,0.9038503880987766,0.29210811750305626
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,IBk,No sampling,False,28278.0,300.0,1094.0,4524.0,0.9895024144446777,0.8620815803914396,0.8095680731928635,0.26395694637154243
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,NB,No sampling,False,41170.0,392.0,1699.0,8033.0,0.9905683075886628,0.8367375973009776,0.8299637493769286,0.23614290741394922
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,RF,Under sampling,False,14578.0,125.0,572.0,1823.0,0.9914983336734,0.888848240960917,0.9058854671439794,0.3275188898745861
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,IBk,Under sampling,False,28495.0,322.0,1072.0,4307.0,0.9888260401846133,0.8686970306688616,0.8221366589170255,0.26923412154262916
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,NB,Under sampling,False,41330.0,413.0,1678.0,7873.0,0.9901061255779412,0.8399894315387273,0.8457317338033485,0.23724883698425736
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,RF,Over sampling,False,16223.0,236.0,461.0,178.0,0.9856613403001397,0.9891470032315103,0.9054333391330986,0.6775455647603184
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,IBk,Over sampling,False,30316.0,433.0,961.0,2486.0,0.9859182412436177,0.9242119382964453,0.805308985341115,0.3598636590424324
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,NB,Over sampling,False,43169.0,524.0,1567.0,6034.0,0.9880072322797702,0.8773652013088633,0.8279327380404431,0.27713954475257535
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,RF,Smote,False,0.0,0.0,0.0,0.0,NaN,NaN,NaN,1.0
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,IBk,Smote,False,0.0,0.0,0.0,0.0,NaN,NaN,NaN,1.0
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,NB,Smote,False,0.0,0.0,0.0,0.0,NaN,NaN,NaN,1.0
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,RF,No sampling,True,16401.0,173.0,524.0,0.0,0.9895619645227465,1.0,0.875896700143472,0.8531756010388457
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,IBk,No sampling,True,32802.0,346.0,1048.0,0.0,0.9895619645227465,1.0,0.875896700143472,0.8531756010388457
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,NB,No sampling,True,49203.0,521.0,1570.0,0.0,0.9895221623360952,1.0,0.875896700143472,0.8525331699709039
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,RF,Under sampling,True,16401.0,173.0,524.0,0.0,0.9895619645227465,1.0,0.875896700143472,0.8531756010388457
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,IBk,Under sampling,True,32802.0,346.0,1048.0,0.0,0.9895619645227465,1.0,0.875896700143472,0.8531756010388457
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,NB,Under sampling,True,49203.0,519.0,1572.0,0.0,0.9895619645227465,1.0,0.875896700143472,0.8531756010388457
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,RF,Over sampling,True,16401.0,173.0,524.0,0.0,0.9895619645227465,1.0,0.875896700143472,0.8531756010388457
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,IBk,Over sampling,True,32802.0,346.0,1048.0,0.0,0.9895619645227465,1.0,0.875896700143472,0.8531756010388457
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,NB,Over sampling,True,49203.0,519.0,1572.0,0.0,0.9895619645227465,1.0,0.875896700143472,0.8531756010388457
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,RF,Smote,True,16401.0,173.0,524.0,0.0,0.9895619645227465,1.0,0.875896700143472,0.8531756010388457
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,IBk,Smote,True,32802.0,346.0,1048.0,0.0,0.9895619645227465,1.0,0.875896700143472,0.8531756010388457
storm,5,0.8594119125408394,0.04076500175459118,0.11154808723632463,NB,Smote,True,49203.0,523.0,1568.0,0.0,0.9894823633511644,1.0,0.875896700143472,0.8518900705067378
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,RF,No sampling,False,18878.0,197.0,812.0,8.0,0.9896723460026212,0.9995764058032405,0.9162250116420184,0.8825770275380653
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,IBk,No sampling,False,37359.0,954.0,1064.0,413.0,0.9750998355649518,0.9890659747961453,0.6353022941781932,0.5913528428311995
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,NB,No sampling,False,56052.0,1543.0,1484.0,606.0,0.9732094799895824,0.9893042465318225,0.6935733148856917,0.561876175864767
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,RF,Under sampling,False,16753.0,203.0,806.0,2133.0,0.9880278367539514,0.8870591972889972,0.9115418345973814,0.3599806804580429
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,IBk,Under sampling,False,33623.0,457.0,1561.0,4149.0,0.9865903755868545,0.890156729852801,0.8375139667486952,0.3556978910574445
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,NB,Under sampling,False,52272.0,1020.0,2007.0,4386.0,0.9808601666291376,0.9225881605422006,0.8117819232027826,0.3836887442658961
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,RF,Over sampling,False,18822.0,366.0,643.0,64.0,0.9809255784865542,0.9966112464259239,0.8791919006606537,0.7384885086075934
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,IBk,Over sampling,False,37301.0,1122.0,896.0,471.0,0.9707987403378185,0.9875304458328921,0.6236055291637153,0.5092938065232091
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,NB,Over sampling,False,55534.0,1430.0,1597.0,1124.0,0.974896425812794,0.9801616717850965,0.6842037392928153,0.5332604139850318
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,RF,Smote,False,18861.0,196.0,813.0,25.0,0.9897150653303248,0.9986762681351266,0.9114614136228355,0.8745743151308513
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,IBk,Smote,False,36908.0,836.0,1182.0,864.0,0.9778507842306062,0.9771259133749868,0.6781901308219669,0.5591822539182165
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,NB,Smote,False,55613.0,1015.0,2012.0,1045.0,0.9820760048032775,0.9815560026827632,0.7618546230640789,0.6432233698690802
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,RF,No sampling,True,18886.0,197.0,812.0,0.0,0.9896766755751192,1.0,0.8790016978402678,0.8866928384498968
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,IBk,No sampling,True,37772.0,787.0,1231.0,0.0,0.9795897196504059,1.0,0.725685216877395,0.7480903977377611
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,NB,No sampling,True,56658.0,1468.0,1559.0,0.0,0.9747445205243781,1.0,0.7016066807535877,0.6684633708730041
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,RF,Under sampling,True,16893.0,145.0,864.0,1993.0,0.9914896114567437,0.8944720957322885,0.9172415170171831,0.4021599343481512
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,IBk,Under sampling,True,33793.0,363.0,1655.0,3979.0,0.9893722918374517,0.8946574181933707,0.8702334698294614,0.3867689983712883
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,NB,Under sampling,True,51672.0,1027.0,2000.0,4986.0,0.9805119641738932,0.9119983056232129,0.7903034619076528,0.3537460873384507
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,RF,Over sampling,True,18401.0,195.0,814.0,485.0,0.9895138739513873,0.974319601821455,0.86819317133829,0.6875343418665224
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,IBk,Over sampling,True,36801.0,768.0,1250.0,971.0,0.979557613990258,0.9742931271841576,0.7237678194775035,0.5667359193984206
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,NB,Over sampling,True,54680.0,1430.0,1597.0,1978.0,0.9745143468187489,0.9650887782837375,0.6983381257062309,0.4537917727227463
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,RF,Smote,True,18885.0,197.0,812.0,1.0,0.9896761345770884,0.999947050725405,0.875908966920295,0.8861765017948418
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,IBk,Smote,True,37770.0,418.0,1600.0,2.0,0.9890541531371111,0.999947050725405,0.867895626851716,0.8785251250147842
storm,6,0.8350121715772685,0.05071626036692636,0.020859832103790384,NB,Smote,True,56656.0,615.0,2412.0,2.0,0.989261580904821,0.9999647004836034,0.8757851562279979,0.8812580540574096
storm,7,0.8046334132585863,0.045790313103332494,0.2394122731201383,RF,No sampling,False,22735.0,220.0,871.0,0.0,0.9904160313657155,1.0,0.892164251688798,0.8831175694469682
storm,7,0.8046334132585863,0.045790313103332494,0.2394122731201383,IBk,No sampling,False,45469.0,455.0,1727.0,1.0,0.9900923264523996,0.9999780074774577,0.8776126602747917,0.878456677366397
storm,7,0.8046334132585863,0.045790313103332494,0.2394122731201383,NB,No sampling,False,68150.0,1133.0,2140.0,55.0,0.983646782038884,0.999193607506781,0.8515602808905854,0.7744438214165319
storm,7,0.8046334132585863,0.045790313103332494,0.2394122731201383,RF,Under sampling,False,22735.0,220.0,871.0,0.0,0.9904160313657155,1.0,0.9220647289729008,0.8831175694469682
storm,7,0.8046334132585863,0.045790313103332494,0.2394122731201383,IBk,Under sampling,False,45467.0,440.0,1742.0,3.0,0.9904154050580521,0.999934022432373,0.8988908793924822,0.8824057752660313
storm,7,0.8046334132585863,0.045790313103332494,0.2394122731201383,NB,Under sampling,False,68099.0,1107.0,2166.0,106.0,0.9840042770858018,0.9984458617403417,0.8851228099504932,0.7727157244298579
storm,7,0.8046334132585863,0.045790313103332494,0.2394122731201383,RF,Over sampling,False,22735.0,220.0,871.0,0.0,0.9904160313657155,1.0,0.8931815721609739,0.8831175694469682
storm,7,0.8046334132585863,0.045790313103332494,0.2394122731201383,IBk,Over sampling,False,45468.0,455.0,1727.0,2.0,0.9900921107070532,0.9999560149549154,0.8782519804861214,0.8782196219499543
