@relation storm

@attribute NumberRevisions real
@attribute NumberAuthors real
@attribute LOC real
@attribute AGE real
@attribute CHURN real
@attribute LOC_TOUCHED real
@attribute AvgLocAdded real
@attribute MaxLocAdded real
@attribute AvgChgSet real
@attribute MaxChgSet real
@attribute numImports real
@attribute numComments real
@attribute Buggy {Yes, No}

@data
1,1,48,6,48,48,48,48,72,72,3,33,No
1,1,85,6,85,85,85,85,72,72,3,32,No
2,2,43,7,45,46,22,43,61,72,12,56,No
1,1,90,6,90,90,90,90,72,72,6,27,No
1,1,202,6,202,202,202,202,72,72,2,87,No
1,1,135,6,135,135,135,135,72,72,12,18,No
1,1,30,6,30,30,30,30,72,72,0,22,No
1,1,29,6,29,29,29,29,72,72,0,22,No
1,1,69,6,69,69,69,69,72,72,4,17,No
1,1,52,6,52,52,52,52,72,72,6,21,No
1,1,89,6,89,89,89,89,72,72,9,21,No
1,1,31,6,31,31,31,31,72,72,4,16,No
1,1,233,6,233,233,233,233,72,72,21,3,No
1,1,40,6,40,40,40,40,72,72,5,17,No
2,2,164,7,164,168,82,164,61,72,38,36,No
1,1,40,6,40,40,40,40,72,72,4,17,No
1,1,32,6,32,32,32,32,72,72,4,17,No
1,1,79,6,79,79,79,79,72,72,10,18,No
1,1,81,6,81,81,81,81,72,72,9,18,No
1,1,70,6,70,70,70,70,72,72,12,22,No
1,1,57,6,57,57,57,57,72,72,6,22,No
2,2,70,7,71,72,35,70,61,72,22,70,No
1,1,59,6,59,59,59,59,72,72,8,21,No
1,1,88,6,88,88,88,88,72,72,9,17,No
1,1,40,6,40,40,40,40,72,72,6,17,No
1,1,104,6,104,104,104,104,72,72,21,18,No
1,1,139,12,139,139,139,139,81,81,20,24,No
1,1,131,12,131,131,131,131,81,81,19,18,No
1,1,149,12,149,149,149,149,81,81,17,18,No
1,1,86,12,86,86,86,86,81,81,2,42,No
1,1,52,12,52,52,52,52,81,81,4,5,No
1,1,88,12,88,88,88,88,81,81,2,46,No
1,1,42,12,42,42,42,42,81,81,3,27,No
1,1,32,12,32,32,32,32,81,81,2,22,No
1,1,40,12,40,40,40,40,81,81,3,24,No
1,1,51,12,51,51,51,51,81,81,2,38,No
1,1,81,12,81,81,81,81,81,81,3,30,No
1,1,35,12,35,35,35,35,81,81,1,21,No
1,1,55,4,55,55,55,55,81,81,1,14,No
1,1,46,12,46,46,46,46,81,81,1,22,No
1,1,46,12,46,46,46,46,81,81,2,33,No
1,1,27,12,27,27,27,27,81,81,5,0,No
1,1,12,12,12,12,12,12,81,81,4,0,No
1,1,48,12,48,48,48,48,81,81,5,21,No
1,1,317,12,317,317,317,317,81,81,25,1,No
1,1,29,12,29,29,29,29,81,81,6,0,No
1,1,14,12,14,14,14,14,81,81,4,0,No
1,1,83,12,83,83,83,83,81,81,1,42,No
1,1,54,12,54,54,54,54,81,81,4,5,No
1,1,83,12,83,83,83,83,81,81,2,42,No
1,1,40,12,40,40,40,40,81,81,2,27,No
1,1,32,12,32,32,32,32,81,81,2,22,No
1,1,40,12,40,40,40,40,81,81,3,24,No
1,1,50,12,50,50,50,50,81,81,2,38,No
1,1,81,12,81,81,81,81,81,81,3,30,No
1,1,35,12,35,35,35,35,81,81,1,21,No
1,1,54,4,54,54,54,54,81,81,1,14,No
1,1,46,12,46,46,46,46,81,81,1,22,No
1,1,46,12,46,46,46,46,81,81,2,33,No
